id,名字,脸,眼,眉,发,嘴,鼻,发后,男胡,杂
79,陌.田桑,0,42,41,42,35,40,42,-1,-1
80,武.绝义,6,56,56,56,48,25,56,28,-1
81,黄.泉,1,57,57,57,53,36,57,29,-1
82,玉.观音,0,43,42,43,43,41,43,-1,-1
83,雨.人屠,6,58,58,58,38,45,58,30,-1
84,上官.凤,8,8,43,44,44,34,44,-1,6
85,计.心狂,17,59,4,59,54,41,59,-1,-1
86,慕容.星辰,1,2,6,3,45,9,3,-1,-1
87,幽.冥,15,60,60,60,27,36,60,-1,-1
88,魅.影,2,46,45,46,46,42,-1,-1,-1
89,血.刃,6,61,61,61,43,45,-1,31,-1
90,残.阳,9,62,62,62,24,29,-1,-1,-1
91,厉.苍穹,6,63,63,63,47,45,63,32,-1
92,迟.百城,4,64,47,64,30,42,-1,24,-1
93,费.彬,15,65,62,65,31,48,65,-1,-1
94,岳.无畏,6,66,66,66,55,46,-1,33,5
95,高.首,14,67,67,67,56,50,67,34,-1
96,王.彪,5,68,49,68,49,29,68,35,-1
97,马.悍,9,50,69,69,57,46,-1,36,3
98,凤.南飞,1,69,43,70,46,48,70,37,-1
99,裘.龙,10,70,24,71,35,45,71,38,-1
100,张.成化,1,71,70,72,31,3,72,39,-1
101,曾.镇海,6,71,47,73,58,26,73,40,-1
102,宋.明公,10,72,71,74,39,42,-1,22,-1
103,戴.壮,12,73,72,75,59,51,-1,42,-1
104,马.应龙,6,74,73,76,60,44,-1,43,-1
105,马.超群,1,75,74,106,43,45,106,44,-1
106,马.丹心,11,47,46,47,47,43,47,-1,-1
107,马.宝郭,1,76,75,77,61,52,-1,45,-1
108,郝.大力,12,6,76,78,62,45,-1,46,-1
109,汪.财,9,77,77,79,63,38,-1,47,-1
110,吴.谋,1,78,78,5,64,47,-1,48,-1
111,熊.百胜,6,79,37,80,48,49,80,49,1
112,朱.全,14,80,48,81,65,35,81,50,-1
113,严.达开,1,81,79,82,44,43,-1,51,-1
114,冯.虎,5,82,80,83,66,45,83,52,-1
115,刘.豹,15,83,43,8,6,16,-1,-1,-1
116,黄.豺,9,84,81,84,4,28,84,-1,-1
117,韩.狼,12,48,47,48,48,44,-1,-1,-1
118,吴.忧,5,49,48,49,49,45,-1,-1,-1
119,孟.经世,10,85,82,85,67,42,-1,53,-1
120,郭.淮,10,86,83,86,47,49,86,54,-1
121,吕.天行,1,87,84,87,68,27,87,55,-1
122,何.足道,1,27,85,88,1,48,88,56,-1
123,楚.风疾,5,88,0,89,5,9,89,57,-1
124,林.弄影,2,50,49,50,39,46,50,-1,-1
125,齐.焱,1,23,37,90,57,46,90,58,-1
126,张.峻,11,89,36,91,24,34,91,65,-1
127,项.问天,5,90,86,92,61,35,-1,45,-1
128,郭.勇锐,13,91,87,93,70,46,-1,-1,-1
129,阮.芷,16,92,88,94,31,41,94,-1,-1
130,彗.定,18,73,87,46,69,2,46,-1,-1
131,清.风,8,51,50,51,51,47,51,-1,-1
132,李.云鹤,11,30,30,30,30,30,30,-1,-1
133,吕.舞阳,15,94,43,96,6,40,96,-1,-1
134,曲.佩环,3,52,51,52,7,48,52,-1,-1
135,水.清秋,3,53,52,53,53,49,53,-1,-1
136,柳.如月,0,55,54,55,55,36,55,-1,-1
137,殷.雨霏,1,54,53,54,54,50,54,-1,-1
138,北冥.雪,2,7,56,6,6,7,6,-1,-1
139,金.龙生,6,95,90,97,27,20,97,62,-1
140,天.残,14,96,91,98,43,26,98,63,-1
141,地.缺,11,97,92,99,71,47,99,64,-1
142,南.丑,10,98,93,100,72,50,100,65,-1
143,北.怪,20,99,94,101,33,39,-1,66,-1
144,逍遥.生,14,22,95,102,29,36,102,67,-1
145,独孤.剑,6,57,56,57,57,34,57,-1,-1
146,炼气.士,5,58,57,58,58,51,58,-1,-1
147,都.点检,6,100,96,103,67,25,103,68,-1
148,独臂.刀,6,24,97,104,20,32,-1,20,-1
149,斗酒.僧,1,101,98,105,41,48,105,70,-1
150,王.添翼,7,102,46,4,8,27,-1,-1,-1
151,雷.殷殷,3,59,58,59,59,52,-1,-1,-1
152,赵.胤宗,15,4,21,21,54,21,21,-1,-1
153,中年天.残,14,96,91,98,43,26,98,44,-1
154,中年地.缺,11,97,92,99,71,47,99,2,-1
155,中年南.丑,10,98,93,100,72,50,100,15,-1
156,中年北.怪,20,99,94,101,33,39,-1,7,-1
157,赵.义仁,6,46,56,56,48,25,56,0,-1
158,石.守信,6,1,25,25,25,25,25,3,-1
159,中年赵.胤宗,15,4,21,21,54,21,21,45,-1
160,傅.砚之,9,2,7,70,5,41,70,-1,-1
161,张.弥勒,8,95,98,-1,69,33,-1,-1,-1
162,陆.沉舟,10,98,47,97,40,35,97,17,-1
163,王.霸,8,66,78,106,58,34,106,8,-1
164,龙.灭,15,34,17,7,50,36,7,45,-1
165,罗.八怪,10,50,34,98,60,25,98,26,-1
166,菲.燕子,12,46,58,45,59,49,45,-1,-1
167,叶.寒,0,13,69,54,5,6,54,-1,-1
168,李.天临,18,3,19,95,5,9,95,-1,-1
169,熊.刚,12,66,65,28,64,25,28,48,-1
170,王.伦,0,75,5,70,46,22,70,-1,-1
