id,名字,类别,图标,初始占领门派,相邻地点,初始等级,背景类型,皮肤编号,x翻转,特产,地图坐标,特殊碰撞
32,药王谷,门派,药王谷,2,"63,78",0,4,0,1,无,-1.86;-35.44,1.6;1.9
33,丐帮,门派,丐帮,3,"0,24,67,72",0,3,1,-1,无,27.94;-2.43,1.9;1.8
34,飞龙门,门派,飞龙门,4,"19,20,61",0,2,2,-1,无,-1.763;18.24,1.8;1.9
35,茅山派,门派,茅山派,5,"27,65,73",0,0,3,1,无,45.84;14.8,1.2;1.7
36,铸剑山庄,门派,铸剑山庄,6,"53,11,14,75",0,0,0,1,无,63.04;-29.52,1.8;1.5
37,五毒教,门派,五毒教,7,"21,74",0,4,1,-1,无,-55.22;-31.69,1.5;2
38,阎罗殿,门派,阎罗殿,8,"10,16,63",0,5,0,1,无,-15.76;-19.04,2;2
39,大隐阁,门派,大隐阁,9,"8,2,67,69",0,0,1,-1,无,14.541;-18.8,1.2;1.2
40,少林寺,门派,少林寺,10,"0,5,27,20",0,3,3,1,无,21.36;21.04,2;1.2
41,武当派,门派,武当派,11,"8,22,29,61",0,0,2,-1,无,-0.5;1.316,1.7;1.6
42,霸刀门,门派,霸刀门,12,"59,19,7,70",0,2,0,-1,无,-14.52;27.28,1.8;1.7
43,蓬莱派,门派,蓬莱派,13,"23,65,73",0,1,0,1,无,62.52;22.32,1.8;1.8
44,峨眉派,门派,峨眉派,14,"3,12,64",0,5,3,-1,无,-47.77;-9.52,1.5;1.7
45,崆峒派,门派,崆峒派,15,"17,19,71",0,5,3,1,无,-26.8;14.6,1.2;1.9
46,神机门,门派,神机门,16,"0,9,27",0,5,2,-1,无,35.63;5.074,1.6;1.4
47,霹雳堂,门派,霹雳堂,17,"26,11,53,62,76",0,0,2,1,无,36.08;-27,1.4;1.6
48,金刚密宗,门派,金刚密宗,18,"15,21,60",0,6,2,1,无,-68.32;0.08,1.9;1.7
49,天山派,门派,天山派,19,"15,18",0,6,1,1,无,-57.32;29.05,1.8;1.6
50,聚义门,门派,普通门派,20,"16,63,77",0,4,1,1,无,-15.99;-31.75,0
51,黄河帮,门派,普通门派,21,"7,18,70",0,2,3,-1,无,-38.57;31.77,0
52,八卦门,门派,普通门派,22,"25,1,14",0,1,3,-1,无,59.15;-8.94,0
53,海沙帮,门派,普通门派,23,"11,26,36,47",0,0,0,1,无,43.2;-35.44,0
54,铁掌帮,门派,普通门派,24,"19,22,61",0,3,2,-1,无,-10.65;12.45,0
55,仙霞派,门派,普通门派,25,"22,8,10",0,5,1,-1,无,-10.56;-6.64,0
56,巨鲸帮,门派,普通门派,26,"25,65",0,1,0,1,无,65.54;12.14,0
57,金龙帮,门派,普通门派,27,"4,27,28",0,2,2,1,无,28.32;30.64,0
58,青城派,门派,普通门派,28,"3,31,10",0,5,1,1,无,-36.33;-12.482,0
59,伏牛派,门派,普通门派,29,"5,42",0,2,2,1,无,-4.4;33.31,0
60,逻娑,城市,逻娑,18,"48,21,64,68",1,6,3,1,药引,-59.37;-7.36,0
61,朱仙镇,村镇,村镇_3,4,"0,34,41,54,72",3,3,3,-1,无,8.36;9.82,0
62,景德镇,村镇,村镇_0,17,"24,47,67,69",2,0,1,1,无,28;-21.07,0
63,佛山镇,村镇,村镇_4,2,"13,16,32,38,50",2,4,3,-1,无,-8.7;-26.3,0
64,腾冲府,村镇,村镇_4,7,"12,21,44,60",0,4,2,-1,无,-55.07;-19.21,0
65,板桥镇,村镇,村镇_1,13,"9,25,35,43,56,73",2,1,2,-1,无,57.12;13.56,0
66,灵州,城市,灵州,19,"15,17,18,68",1,6,0,1,乐器,-51.81;13.42,0
67,应天,城市,应天,3,"24,29,33,39,62",3,3,2,-1,典籍,24.9;-12.11,0
68,墨脱县,村镇,村镇_6,1,"15,31,60,66",1,6,3,-1,无,-50.47;0.16,0
69,七里镇,村镇,村镇_0,9,"2,26,39,62",1,0,2,1,无,20.08;-26.31,0
70,永昌村,村镇,村镇_2,12,"7,42,51",0,2,0,1,无,-24.11;33.83,0
71,蚕丛村,村镇,村镇_5,15,"6,17,22,45",1,5,1,-1,无,-24.1;6.57,0
72,子午镇,村镇,村镇_3,3,"0,29,33,61",2,3,3,1,无,16.29;0.43,0
73,章丘镇,村镇,村镇_3,13,"4,35,43,65",2,3,2,1,无,52.4;21.4,0
74,威远村,村镇,村镇_4,7,"3,12,37",0,4,1,-1,无,-42;-29.6,0
75,枫桥镇,村镇,村镇_0,6,"1,14,36",3,0,2,-1,无,60.7;-22,0
76,余杭镇,村镇,村镇_0,17,"1,11,24,47",1,0,2,1,无,41.6;-20.2,0
77,普洱村,村镇,村镇_4,8,"3,16,50",1,4,1,-1,无,-26.5;-28.6,0
78,扶胥镇,村镇,村镇_4,2,"2,13,32",3,4,1,1,无,1.6;-29.5,0
